condition,display_type,hdd_type,os,cpu_line,cpu_cores,cpu_speed,ram_size,ram_type,ram_speed,hdd_size,display_surface,display_resolution,gfx_type,weight,battery_capacity
Nowy,,HDD,Windows 10 Home,Intel Pentium Quad-Core,4,2.5 GHz,8 GB,DDR3,1866,1000 GB,matowa,1366 x 768,Intel HD Graphics 505,,
Używany,TN,HDD,"Windows 7 Professional 32-bit, Windows 7 Professional 64-bit",Intel Core i5,2,3.2 GHz,4 GB,DDR3,,320 GB,matowa,1366 x 768,Intel HD Graphics 3000,2.3 kg,
Nowy,IPS,Hybrydowy,Windows 10 Home,Intel Core i5,2,2.7 GHz,8 GB,DDR3,1600,500 GB,błyszcząca,1920 x 1080,NVIDIA GeForce GT 940M,1.9 kg,45 Wh
Nowy,TN,SSD,Windows 10 Home,Intel Celeron,2,2.4 GHz,4 GB,DDR4,2400,32 GB,antyrefleksyjna,1920 x 1080,Intel HD Graphics 500,1.44 kg,
Używany,,HDD,inny,Intel Celeron Dual-Core,2,,2 GB,DDR3,,320 GB,matowa,1366 x 768,,,
Używany,,eMMC,Chrome OS,Intel Celeron Dual-Core,2,,4 GB,,,16 GB,matowa,1366 x 768,,,
Nowy,IPS,SSD,Mac OS,Intel Core i5,2,3.5 GHz,8 GB,DDR3L,2133,256 GB,błyszcząca antyrefleksyjna,2560 x 1600,Intel Iris Plus Graphics 650,1.37 kg,
Nowy,IPS,SSD,Mac OS,Intel Core m3,2,2.2 GHz,8 GB,DDR3L,,256 GB,błyszcząca,2304 x 1440,Intel HD Graphics 515,0.92 kg,41.4 Wh
Używany,,HDD,Windows 8.1 Professional 64-bit,Intel Celeron Quad Core,4,,4 GB,DDR3L,,320 GB,matowa,1366 x 768,,,
Używany,,SSD,"Windows 7 Professional 64-bit, Windows 10 Professional",Intel Core i5,2,,8 GB,DDR3,,128 GB,matowa,1366 x 768,,,
Używany,IPS,SSD,Windows 10 Professional,Intel Core i5,2,3 GHz,8 GB,DDR4,,512 GB,matowa,1920 x 1080,Intel HD Graphics 520,,
Używany,,eMMC,Chrome OS,Intel Celeron Quad Core,4,,4 GB,DDR3L,,16 GB,błyszcząca,1366 x 768,,,
Nowy,TN,SSD + HDD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR4,2400,1240 GB,matowa,1920 x 1080,,1.62 kg,3727 mAh
Nowy,IPS,SSD + HDD,brak systemu,Intel Core i5,4,,12 GB,,,1256 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050,,
Nowy,IPS,SSD,"Windows 8.1 Professional 32-bit, Windows 8.1 Professional 64-bit, Windows 10 Professional, Linux, inny",Intel Core m,2,2.9 GHz,4 GB,DDR3,,128 GB,błyszcząca,1920 x 1080,Intel HD Graphics 5300,1.36 kg,35 Wh
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i7,4,4 GHz,16 GB,DDR4,2400,2256 GB,matowa,1920 x 1080,AMD Radeon 530M,2.45 kg,42 Wh
Nowy,TN,SSD + HDD,Windows 10 Home,Intel Core i7,4,3.4 GHz,8 GB,DDR4,2400,1128 GB,matowa,1920 x 1080,Intel HD Graphics 620,2.18 kg,42 Wh
Nowy,,HDD,Windows 10 Home,Intel Core i7,2,3 GHz,8 GB,DDR3,1600,1000 GB,matowa,1920 x 1080,AMD Radeon R7 M360,1.8 kg,
Używany,,HDD,"Windows 7 Home 64-bit, Windows 7 Home 32-bit",Intel Core i5,2,,2 GB,DDR3,,250 GB,matowa,1280 x 800,,,
Nowy,IPS,SSD,Mac OS,Intel Core i5,2,3.6 GHz,8 GB,DDR3L,2133,128 GB,błyszcząca,2560 x 1600,,1.25 kg,50 Wh
Nowy,,SSD,brak systemu,Intel Core i5,4,3.4 GHz,8 GB,DDR4,2400,256 GB,matowa,1920 x 1080,,1.54 kg,3727 mAh
Powystawowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i5,4,3.5 GHz,8 GB,DDR4,2400,1128 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050Ti,,
Nowy,,SSD,Windows 10 Home,Intel Pentium Quad-Core,4,2.56 GHz,8 GB,DDR3,1600,240 GB,błyszcząca,1366 x 768,Intel HD Graphics 405,2.2 kg,40 Wh
Używany,TN,SSD,Windows 7 Professional 64-bit,Intel Core i5,2,3.2 GHz,8 GB,DDR3,,120 GB,matowa,1366 x 768,Intel HD Graphics 3000,2.2 kg,
Nowy,,SSD,Windows 10 Home,Intel Celeron Dual-Core,2,2.41 GHz,4 GB,DDR3,1600,256 GB,błyszcząca,1366 x 768,Intel HD Graphics 400,3 kg,
Używany,TN,HDD,"Windows 7 Professional 64-bit, Windows 7 Professional 32-bit",Intel Core i5,2,2.93 GHz,4 GB,DDR3,,320 GB,matowa,1280 x 800,,2.49 kg,
Nowy,TN,SSD,Windows 10 Professional,AMD A10,4,3.3 GHz,8 GB,DDR4,,240 GB,matowa,1920 x 1080,,2.08 kg,48 Wh
Nowy,TN,SSD,"Windows 10 Professional, Linux, inny",Intel Core i5,2,3 GHz,8 GB,DDR4,2133,256 GB,matowa,1366 x 768,Intel HD Graphics 520,1.6 kg,
Nowy,IPS,SSD,Mac OS,Intel Core i5,2,3.5 GHz,8 GB,DDR3,2133,256 GB,błyszcząca,2560 x 1600,,1.37 kg,49.2 Wh
Używany,,SSD,Windows 8.1 Professional 64-bit,Intel Core i7,2,3.3 GHz,8 GB,DDR3L,,256 GB,matowa,1920 x 1080,Intel HD Graphics 4400,1.4 kg,34 Wh
Nowy,,HDD,Windows 10 Home,Intel Pentium Quad-Core,4,2.7 GHz,4 GB,DDR4,2133,1000 GB,matowa,1920 x 1080,,1.9 kg,
Nowy,TN,eMMC,Windows 10 Home,Inny procesor,4,1.92 GHz,4 GB,DDR3,,32 GB,matowa,1920 x 1080,,1.38 kg,10000 mAh
Nowy,,SSD + HDD,brak systemu,Intel Core i7,6,,16 GB,,,1240 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050Ti,,
Nowy,,SSD + HDD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR4,,1128 GB,błyszcząca,1920 x 1080,Intel HD Graphics 620,,
Nowy,TN,HDD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR4,2133,1000 GB,matowa,1920 x 1080,NVIDIA GeForce MX150,2.2 kg,4030 mAh
Nowy,,eMMC,Windows 10 Home,Intel Celeron Dual-Core,2,2.4 GHz,4 GB,DDR3,,32 GB,błyszcząca,1920 x 1080,Intel HD Graphics 500,1.375 kg,10000 mAh
Używany,TN,eMMC,Chrome OS,Intel Celeron Dual-Core,2,2.58 GHz,4 GB,,,16 GB,błyszcząca,1366 x 768,,,
Używany,IPS,SSD,"Windows 8.1 Professional 64-bit, Windows 10 Professional",Intel Core i7,2,3.3 GHz,8 GB,DDR3L,,240 GB,matowa,1920 x 1080,Intel HD Graphics 4400,1.7 kg,
Nowy,TN,HDD,Windows 10 Home,Intel Celeron Dual-Core,2,2.2 GHz,4 GB,DDR3L,1600,500 GB,antyrefleksyjna,1366 x 768,Intel HD Graphics 500,1.84 kg,
Używany,,HDD,"Windows 7 Professional 64-bit, Windows 7 Professional 32-bit",Intel Core i5,2,2.93 GHz,4 GB,DDR3,,160 GB,matowa,1280 x 800,,,
Nowy,IPS,SSD,Windows 10 Home,Intel Core i7,4,4.1 GHz,16 GB,DDR4,2400,512 GB,błyszcząca,3840 x 2160,,2.14 kg,84 Wh
Używany,,SSD,"Windows 7 Professional 64-bit, Windows 10 Professional",Intel Core i7,2,3.6 GHz,8 GB,DDR3,,128 GB,matowa,1600 x 900,NVIDIA Quadro NVS 5200M,2.6 kg,
Nowy,IPS,SSD,Windows 10 Home,AMD Ryzen 5,4,3.6 GHz,8 GB,DDR4,2400,256 GB,błyszcząca,1920 x 1080,,1.3 kg,
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR4,2400,1128 GB,błyszcząca,1920 x 1080,NVIDIA GeForce MX150,2.16 kg,55.8 Wh
Używany,,SSD,Mac OS,Intel Core i5,2,,8 GB,,,128 GB,błyszcząca antyrefleksyjna,2560 x 1600,,,
Nowy,IPS,SSD,Mac OS,Intel Core i7,6,4.4 GHz,16 GB,DDR4,2400,256 GB,błyszcząca,2880 x 1800,AMD Radeon Pro 555X,1.83 kg,83.6 Wh
Używany,,SSD,Mac OS,Intel Core 2 Duo,2,,4 GB,,,60 GB,błyszcząca,1280 x 800,,,
Nowy,,SSD,Mac OS,Intel Core i5,2,2.9 GHz,8 GB,DDR3,1600,128 GB,błyszcząca,1440 x 900,Intel HD Graphics 6000,1.35 kg,
Nowy,,SSD,Windows 10 Home,Intel Pentium Quad-Core,4,2.5 GHz,8 GB,DDR3,1866,256 GB,matowa,1366 x 768,Intel HD Graphics 505,,
Nowy,IPS,SSD,Windows 10 Home,Intel Core i7,4,4 GHz,16 GB,DDR3,1866,512 GB,błyszcząca,3840 x 2160,Intel HD Graphics 620,1.21 kg,52 Wh
Używany,,HDD,"Linux, Windows 7 Professional 32-bit",Intel Core 2 Duo,2,,4 GB,DDR2,,160 GB,matowa,1280 x 800,,,
Nowy,,SSD + HDD,Windows 10 Home,Intel Core i7,4,3.8 GHz,16 GB,DDR4,,1000 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050Ti,,48 Wh
Nowy,TN,HDD,Windows 10 Home,Intel Celeron Dual-Core,2,2.6 GHz,4 GB,DDR3,,500 GB,antyrefleksyjna,1920 x 1080,Intel HD Graphics 500,2 kg,
Używany,TN,HDD,"Windows 7 Professional 64-bit, Windows 7 Professional 32-bit",Intel Core i5,2,3.3 GHz,8 GB,DDR3,,320 GB,matowa,1366 x 768,Intel HD Graphics 4000,,
Nowy,IPS,SSD,Windows 10 Home,AMD Ryzen 5,4,3.6 GHz,8 GB,DDR4,2400,256 GB,matowa,1920 x 1080,,1.43 kg,
Nowy,,HDD,Windows 10 Home,Intel Core i3,2,3.4 GHz,8 GB,DDR4,2133,1 GB,matowa,1920 x 1080,NVIDIA GeForce MX150,,
Używany,,SSD,Mac OS,Intel Core i5,2,2.8 GHz,8 GB,,1600,120 GB,matowa,1440 x 900,Intel HD Graphics 4000,1.35 kg,
Nowy,,SSD + HDD,Windows 10 Home,Intel Core i5,2,,8 GB,,2133,1256 GB,antyrefleksyjna,1920 x 1080,,,
Nowy,,HDD,Windows 10 Home,Intel Core i7,4,3.5 GHz,8 GB,DDR4,,1000 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 950M,,45 Wh
Używany,,SSD,Windows 8.1 Professional 64-bit,Intel Core i7,2,,8 GB,,,256 GB,błyszcząca,1920 x 1080,,,
Używany,TN,SSD,Windows 7 Professional 64-bit,Intel Core i7,4,3.8 GHz,16 GB,DDR3L,,256 GB,matowa,1920 x 1080,NVIDIA Quadro K3100M,3.6 kg,97 Wh
Używany,,SSD,"Windows 7 Professional 64-bit, Windows 10 Professional",Intel Core i7,4,3.5 GHz,32 GB,DDR3,,512 GB,matowa,1920 x 1080,NVIDIA Quadro K2100M,3.2 kg,
Nowy,TN,SSD,"inny, Windows 10 Home",Intel Core i3,2,2 GHz,8 GB,DDR4,2133,240 GB,matowa,1920 x 1080,Intel HD Graphics 520,1.86 kg,41 Wh
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i5,4,4 GHz,8 GB,DDR4,2666,1128 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1060,2.81 kg,56 Wh
Nowy,IPS,SSD + HDD,brak systemu,Intel Core i5,4,,8 GB,,,1128 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050,,
Używany,,SSD,"Windows 7 Professional 64-bit, Windows 10 Professional",Intel Core i7,4,,16 GB,DDR3,,480 GB,matowa,1920 x 1080,,,
Nowy,TN,SSD,Windows 10 Professional,Intel Core i3,2,,8 GB,DDR4,2133,256 GB,matowa,1920 x 1080,Intel HD Graphics 520,1.9 kg,32 Wh
Nowy,,SSD + HDD,brak systemu,Intel Core i7,6,,16 GB,,,1120 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050,,
Używany,TN,HDD,"Windows 7 Home 32-bit, Windows 7 Home 64-bit",AMD E,2,,2 GB,DDR3,,250 GB,matowa,1366 x 768,,,
Nowy,,SSD,Mac OS,Intel Core i5,2,2.9 GHz,8 GB,DDR3,,128 GB,błyszcząca,1440 x 900,Intel HD Graphics 6000,1.35 kg,
Nowy,IPS,SSD + HDD,Windows 10 Professional,Intel Core i5,4,4 GHz,8 GB,DDR4,2666,1128 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050Ti,2.95 kg,56 Wh
Używany,TN,SSD,"Windows 7 Professional 64-bit, Windows 10 Home, Windows 10 Professional",Intel Core i7,2,3.3 GHz,8 GB,DDR3,,240 GB,błyszcząca,1366 x 768,Intel HD Graphics 4000,2 kg,
Używany,,SSD,Windows 10 Professional,Intel Core i5,2,3 GHz,4 GB,DDR3,,120 GB,matowa,1366 x 768,,,
Nowy,IPS,HDD,Windows 10 Home,Intel Core i5,4,3 GHz,8 GB,DDR4,2400,1000 GB,antyrefleksyjna,1920 x 1080,NVIDIA GeForce GTX 1050,,70 Wh
Nowy,IPS,SSD + HDD,brak systemu,Intel Core i5,4,,8 GB,,,1256 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050,,
Używany,,HDD,Windows 7 Professional 64-bit,Intel Core i5,2,3.2 GHz,4 GB,DDR3,,160 GB,matowa,1366 x 768,Intel HD Graphics 3000,,
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i7,4,4 GHz,12 GB,DDR4,2400,1128 GB,błyszcząca,1920 x 1080,NVIDIA GeForce MX130,1.68 kg,41 Wh
Nowy,TN,SSD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR4,2133,240 GB,matowa,1920 x 1080,NVIDIA GeForce MX150,2.2 kg,4030 mAh
Używany,,HDD,"Windows 8.1 Professional 64-bit, Windows 8.1 Professional 32-bit",Intel Core i5,2,2.9 GHz,4 GB,DDR3,,320 GB,matowa,1366 x 768,Intel HD Graphics 4400,,
Nowy,,SSD + HDD,Windows 10 Home,Intel Core i7,4,4 GHz,16 GB,DDR4,,1256 GB,matowa,1920 x 1080,,,
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i7,4,3.8 GHz,16 GB,DDR4,2400,1512 GB,matowa,3840 x 2160,NVIDIA GeForce GTX 1060,2.65 kg,56 Wh
Nowy,,HDD,Windows 10 Home,Intel Pentium Quad-Core,4,,8 GB,DDR3,,1000 GB,matowa,1920 x 1080,,2.2 kg,
Nowy,,SSD + HDD,Windows 10 Home,Intel Core i7,4,3.8 GHz,16 GB,DDR4,2400,1256 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1060,3.03 kg,64 Wh
Używany,,SSD,"Windows 10 Home, Windows 7 Professional 64-bit, Windows 10 Professional",Intel Core i5,2,2.93 GHz,8 GB,DDR3,,240 GB,matowa,1366 x 768,,,
Nowy,,eMMC,Windows 10 Home,Intel Celeron,2,,2 GB,DDR3,1600,32 GB,błyszcząca,1366 x 768,Intel HD Graphics 500,1.35 kg,
Używany,,HDD,Windows 7 Home 64-bit,Intel Core i5,2,2.53 GHz,6 GB,,,500 GB,błyszcząca,1366 x 768,,,
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i7,6,4.1 GHz,16 GB,DDR4,2400,1240 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050Ti,2.36 kg,3220 mAh
Używany,IPS,SSD + HDD,Windows 10 Home,Intel Core i7,4,3.5 GHz,8 GB,DDR4,2133,1128 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 950M,,
Nowy,IPS,SSD,Mac OS,Intel Core i5,4,,8 GB,,,256 GB,błyszcząca,2560 x 1600,,,58 Wh
Nowy,IPS,SSD,Windows 10 Home,Intel Core i7,6,4.1 GHz,16 GB,DDR4,,512 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050Ti,,
Nowy,,SSD + HDD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR4,,1128 GB,matowa,1920 x 1080,,,
Nowy,IPS,SSD,Mac OS,Intel Core i5,2,3.5 GHz,8 GB,DDR3,2133,256 GB,błyszcząca,2560 x 1600,,1.37 kg,49.2 Wh
Nowy,,SSD,Windows 10 Home,Intel Core i7,3,4 GHz,16 GB,DDR4,2400,256 GB,matowa,1920 x 1080,AMD Radeon 530M,,
Używany,,HDD,Windows 7 Professional 64-bit,Intel Core i5,2,,4 GB,,,250 GB,matowa,1440 x 900,,,
Używany,,SSD,"Windows 8.1 Professional 64-bit, Windows 10 Professional",Intel Core i5,2,3 GHz,8 GB,DDR3,1600,256 GB,matowa,1366 x 768,,22.7 kg,
Nowy,,HDD,brak systemu,Intel Core i5,4,,8 GB,,,1000 GB,matowa,1920 x 1080,,,
Odnowiony przez producenta,,HDD,Windows 10 Home,Intel Pentium Quad-Core,4,2.5 GHz,8 GB,DDR3,1866,1000 GB,matowa,1366 x 768,Intel HD Graphics 505,,
Nowy,IPS,SSD,Mac OS,Intel Core i7,4,3.6 GHz,16 GB,DDR3L,2133,512 GB,błyszcząca antyrefleksyjna,2880 x 1800,AMD Radeon Pro 560,,
Powystawowy,,SSD + HDD,Windows 10 Home,Intel Core i5,2,3.1 GHz,8 GB,DDR4,2133,1120 GB,matowa,1920 x 1080,NVIDIA GeForce 940MX,2.2 kg,3220 mAh
Nowy,TN,SSD + HDD,Windows 10 Home,Intel Core i7,4,3.4 GHz,8 GB,DDR4,2400,1128 GB,matowa,1920 x 1080,,2.18 kg,42 Wh
Używany,IPS,SSD,Mac OS,Intel Core i7,4,3.7 GHz,16 GB,DDR3L,1600,256 GB,błyszcząca antyrefleksyjna,2880 x 1800,Intel Iris Pro Graphics 5200,,
Nowy,TN,SSD,Windows 10 Home,Intel Pentium Quad-Core,4,2.5 GHz,4 GB,DDR4,2400,250 GB,matowa,1920 x 1080,Intel HD Graphics 505,1.4 kg,32 Wh
Po zwrocie,IPS,SSD + HDD,Windows 10 Home,Intel Core i7,6,4.3 GHz,32 GB,DDR4,2666,1512 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1080 SLI x 2,5.5 kg,
Powystawowy,,SSD + HDD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR4,2400,1240 GB,matowa,1600 x 900,NVIDIA GeForce 940MX,2.1 kg,3653 mAh
Używany,,SSD,Mac OS,Intel Core i7,2,3.1 GHz,8 GB,DDR3L,1600,240 GB,błyszcząca antyrefleksyjna,1440 x 900,Intel HD Graphics 6000,1.35 kg,
Nowy,,SSD,Mac OS,Intel Core i5,2,2.9 GHz,8 GB,DDR3,1600,128 GB,błyszcząca,1440 x 900,Intel HD Graphics 6000,1.35 kg,
Nowy,TN,SSD,Windows 10 Home,Intel Core i3,2,2 GHz,8 GB,DDR4,2133,240 GB,matowa,1920 x 1080,NVIDIA GeForce GT 920M,1.93 kg,
Nowy,,SSD,Windows 10 Professional,AMD A6,2,2.9 GHz,8 GB,DDR4,2133,240 GB,matowa,1366 x 768,,2.2 kg,4000 mAh
Nowy,IPS,SSD,Windows 10 Home,Intel Core i5,4,3.5 GHz,8 GB,DDR4,,256 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050,,
